,TRANSACTION_AMOUNT
0,19.0
1,99.0
2,37.0
3,24.0
4,19.0
5,42.0
7,12.0
8,24.0
9,70.0
10,49.0
11,19.0
12,20.0
13,39.0
14,99.0
15,31.0
16,34.0
17,35.0
18,22.0
19,30.0
20,29.0
21,20.0
22,14.0
23,34.0
24,12.0
25,19.0
26,13.0
27,20.0
28,47.0
29,29.0
30,24.0
31,75.0
32,19.0
33,34.0
34,11.0
35,11.0
36,25.0
37,24.0
38,12.0
39,37.0
40,35.0
41,12.0
42,55.0
43,42.0
44,57.0
45,14.0
46,65.0
47,65.0
48,50.0
49,19.0
50,21.0
51,11.0
52,23.0
53,20.0
54,70.0
55,38.0
56,15.0
57,29.0
58,32.0
59,17.0
60,82.0
61,12.0
62,21.0
63,13.0
64,29.0
65,14.0
66,10.0
67,11.0
68,86.0
69,23.0
70,25.0
71,25.0
72,55.0
73,17.0
74,23.0
76,23.0
77,33.0
78,15.0
79,20.0
80,16.0
81,30.0
82,51.0
83,80.0
84,13.0
85,32.0
86,10.0
87,51.0
88,27.0
89,21.0
90,64.0
91,69.0
92,18.0
93,86.0
94,20.0
95,25.0
96,37.0
97,19.0
98,39.0
99,97.0
101,50.0
102,64.0
103,11.0
104,36.0
106,24.0
107,24.0
108,10.0
109,21.0
110,11.0
111,45.0
112,30.0
113,24.0
114,88.0
115,20.0
116,60.0
117,42.0
118,25.0
119,46.0
120,86.0
121,28.0
122,15.0
123,40.0
124,36.0
125,17.0
126,17.0
127,39.0
128,31.0
129,25.0
130,11.0
134,19.0
135,29.0
136,17.0
137,71.0
138,18.0
139,17.0
140,39.0
141,48.0
142,80.0
143,25.0
144,34.0
145,10.0
146,15.0
147,10.0
148,75.0
149,49.0
150,17.0
151,69.0
152,48.0
153,10.0
154,33.0
155,24.0
156,80.0
157,69.0
158,58.0
159,15.0
160,24.0
161,24.0
162,97.0
163,34.0
164,61.0
165,14.0
166,80.0
167,52.0
169,32.0
170,28.0
171,30.0
172,43.0
173,22.0
174,41.0
175,15.0
176,22.0
177,30.0
178,14.0
179,23.0
180,13.0
181,90.0
182,33.0
183,13.0
184,24.0
185,14.0
186,24.0
187,40.0
188,40.0
189,30.0
190,10.0
191,16.0
192,25.0
193,40.0
194,20.0
195,25.0
196,17.0
197,24.0
198,23.0
199,22.0
200,35.0
201,10.0
202,44.0
203,16.0
204,42.0
205,29.0
206,75.0
207,81.0
208,12.0
209,53.0
210,66.0
211,11.0
212,29.0
213,17.0
214,23.0
215,44.0
216,24.0
217,19.0
218,13.0
219,23.0
220,85.0
221,50.0
222,32.0
223,44.0
224,12.0
225,65.0
226,17.0
227,25.0
228,32.0
229,31.0
230,22.0
231,17.0
232,16.0
233,86.0
234,35.0
235,66.0
236,29.0
237,20.0
238,11.0
239,24.0
240,91.0
241,65.0
242,52.0
243,13.0
244,16.0
245,44.0
246,46.0
247,35.0
248,23.0
249,23.0
250,29.0
251,32.0
252,29.0
253,29.0
254,23.0
255,25.0
256,32.0
257,33.0
258,24.0
259,23.0
260,24.0
261,42.0
262,13.0
263,28.0
264,46.0
265,58.0
266,37.0
267,12.0
268,10.0
269,11.0
270,75.0
271,60.0
272,13.0
273,49.0
274,37.0
275,29.0
276,11.0
277,45.0
278,12.0
279,39.0
280,29.0
282,15.0
283,35.0
284,22.0
285,65.0
286,22.0
287,69.0
288,60.0
290,10.0
291,97.0
292,97.0
293,25.0
294,28.0
295,49.0
296,25.0
297,17.0
298,27.0
299,22.0
300,87.0
301,15.0
302,97.0
304,13.0
305,65.0
306,28.0
307,33.0
308,42.0
309,21.0
310,30.0
311,88.0
312,18.0
313,90.0
314,49.0
315,16.0
316,36.0
317,89.0
318,19.0
319,24.0
320,28.0
321,49.0
322,10.0
323,10.0
324,25.0
325,31.0
326,39.0
327,54.0
328,13.0
329,19.0
330,19.0
331,51.0
332,23.0
333,20.0
334,25.0
335,12.0
336,45.0
337,26.0
338,10.0
340,23.0
341,41.0
342,27.0
343,28.0
344,18.0
345,12.0
346,10.0
347,10.0
348,31.0
349,12.0
350,34.0
351,10.0
352,13.0
353,44.0
354,26.0
355,14.0
356,44.0
357,71.0
359,51.0
360,20.0
361,60.0
362,15.0
363,10.0
364,16.0
366,81.0
367,10.0
368,19.0
369,49.0
370,73.0
371,20.0
372,76.0
373,57.0
374,30.0
375,10.0
376,23.0
377,98.0
378,44.0
379,22.0
380,38.0
381,22.0
382,39.0
383,10.0
384,58.0
385,48.0
387,62.0
388,49.0
389,67.0
390,14.0
391,76.0
392,31.0
393,45.0
394,45.0
395,31.0
396,22.0
397,71.0
398,10.0
399,11.0
400,32.0
401,80.0
402,13.0
404,33.0
405,19.0
406,46.0
407,88.0
408,28.0
409,45.0
410,41.0
411,37.0
412,18.0
413,18.0
414,18.0
415,17.0
416,12.0
417,23.0
418,10.0
419,10.0
420,47.0
421,21.0
422,60.0
423,30.0
424,23.0
425,42.0
426,15.0
427,52.0
428,21.0
429,29.0
430,17.0
431,39.0
432,42.0
433,16.0
434,29.0
435,19.0
436,13.0
437,14.0
438,74.0
439,84.0
440,72.0
441,18.0
442,16.0
443,17.0
444,12.0
445,21.0
446,12.0
447,65.0
448,49.0
449,48.0
452,44.0
453,65.0
454,16.0
455,19.0
456,49.0
457,15.0
458,50.0
459,32.0
460,80.0
461,91.0
465,11.0
467,24.0
468,48.0
470,97.0
471,70.0
472,62.0
473,40.0
474,80.0
475,26.0
476,48.0
477,27.0
478,12.0
479,12.0
480,12.0
481,33.0
482,25.0
483,23.0
484,12.0
485,40.0
486,21.0
487,32.0
488,46.0
489,15.0
490,12.0
491,38.0
492,16.0
493,41.0
494,76.0
496,16.0
497,48.0
498,12.0
499,47.0
500,57.0
501,85.0
502,71.0
503,25.0
508,13.0
509,47.0
510,12.0
511,83.0
512,59.0
513,24.0
514,17.0
515,64.0
516,12.0
517,15.0
518,12.0
519,62.0
520,40.0
521,49.0
522,16.0
523,38.0
524,90.0
525,55.0
526,87.0
527,14.0
528,54.0
529,12.0
530,46.0
531,20.0
533,34.0
534,90.0
535,32.0
536,50.0
537,14.0
538,31.0
539,69.0
540,91.0
543,34.0
544,13.0
545,23.0
546,45.0
547,37.0
548,20.0
549,19.0
550,24.0
551,49.0
552,13.0
553,33.0
554,11.0
555,20.0
556,27.0
557,20.0
558,18.0
559,10.0
560,15.0
561,74.0
562,39.0
563,11.0
564,24.0
565,34.0
566,10.0
567,17.0
568,32.0
569,27.0
570,28.0
571,19.0
572,29.0
573,50.0
574,10.0
575,40.0
576,31.0
577,31.0
578,18.0
579,28.0
580,20.0
585,91.0
586,47.0
587,66.0
589,35.0
590,52.0
591,87.0
592,87.0
593,37.0
594,10.0
596,17.0
597,15.0
598,39.0
599,10.0
600,17.0
601,12.0
602,82.0
603,76.0
604,17.0
605,31.0
606,11.0
607,13.0
608,24.0
609,10.0
610,50.0
611,50.0
612,20.0
613,95.0
614,17.0
615,35.0
616,17.0
617,11.0
618,26.0
619,44.0
620,99.0
621,29.0
622,29.0
623,57.0
624,37.0
625,38.0
626,14.0
627,49.0
628,49.0
629,49.0
630,28.0
631,68.0
632,71.0
633,11.0
634,33.0
635,36.0
636,34.0
637,15.0
638,18.0
639,43.0
640,21.0
641,11.0
642,29.0
643,71.0
644,50.0
645,38.0
646,30.0
647,15.0
648,15.0
649,31.0
650,33.0
651,44.0
652,21.0
653,30.0
654,36.0
655,36.0
656,36.0
657,30.0
658,36.0
659,36.0
660,31.0
661,38.0
662,12.0
663,35.0
664,11.0
665,14.0
666,10.0
667,12.0
668,64.0
669,76.0
670,12.0
671,49.0
672,49.0
673,49.0
674,49.0
675,49.0
676,40.0
677,52.0
678,39.0
679,44.0
680,85.0
681,10.0
682,13.0
683,76.0
684,33.0
685,12.0
686,27.0
687,51.0
688,60.0
689,70.0
690,16.0
691,62.0
692,44.0
693,27.0
694,61.0
695,49.0
696,10.0
697,27.0
698,31.0
699,12.0
700,40.0
701,50.0
702,39.0
703,16.0
704,29.0
705,13.0
706,20.0
707,52.0
708,25.0
709,84.0
710,19.0
711,53.0
712,45.0
713,24.0
714,78.0
715,17.0
716,16.0
717,52.0
718,27.0
719,22.0
720,12.0
721,95.0
722,26.0
723,17.0
724,16.0
725,24.0
726,17.0
727,13.0
728,47.0
729,48.0
730,52.0
731,28.0
733,18.0
734,21.0
735,11.0
736,65.0
737,17.0
738,17.0
739,66.0
740,13.0
741,20.0
742,24.0
743,29.0
744,60.0
745,27.0
746,99.0
747,46.0
748,12.0
749,72.0
750,90.0
751,62.0
752,69.0
753,12.0
754,12.0
755,27.0
756,15.0
757,15.0
758,11.0
759,47.0
760,14.0
761,40.0
762,26.0
763,42.0
764,11.0
765,29.0
766,12.0
767,37.0
768,24.0
769,25.0
770,54.0
771,15.0
772,55.0
773,55.0
774,98.0
775,86.0
776,31.0
777,50.0
778,79.0
779,10.0
780,37.0
781,94.0
782,58.0
783,62.0
784,22.0
785,70.0
786,58.0
787,25.0
788,49.0
789,13.0
790,40.0
791,64.0
792,23.0
793,58.0
794,10.0
795,55.0
796,38.0
797,32.0
798,12.0
799,87.0
800,39.0
801,72.0
802,35.0
803,50.0
804,41.0
805,10.0
806,12.0
807,26.0
808,20.0
809,21.0
810,14.0
811,43.0
812,24.0
813,81.0
814,36.0
815,41.0
816,72.0
817,48.0
818,80.0
819,38.0
820,62.0
821,32.0
822,15.0
823,15.0
824,15.0
825,15.0
826,15.0
827,15.0
828,15.0
829,15.0
830,15.0
831,30.0
832,30.0
833,14.0
834,13.0
835,15.0
836,25.0
837,24.0
838,24.0
839,50.0
840,20.0
841,16.0
842,65.0
844,43.0
845,12.0
846,50.0
847,93.0
848,61.0
849,12.0
850,24.0
851,14.0
852,11.0
853,19.0
854,21.0
855,21.0
856,99.0
857,90.0
858,11.0
859,29.0
860,20.0
861,51.0
862,16.0
864,13.0
865,25.0
867,65.0
868,16.0
869,18.0
870,65.0
871,36.0
872,70.0
873,48.0
874,20.0
875,73.0
876,90.0
877,36.0
878,28.0
879,16.0
880,10.0
881,55.0
882,70.0
883,10.0
884,66.0
885,58.0
886,87.0
